Batch,File,Repository,Commit SHA,Description,is_pure_rename
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,2d0c3a53ccfebf08c3c073acb9aa997b0c18c07e,Rename Variable e : InterruptedException to iex : InterruptedException in method public write(writable IOReadableWritable) : boolean from class eu.stratosphere.nephele.services.iomanager.ChannelWriter,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,05502b70acc457dabcc327895048ceb69a19a417,Rename Variable sex : ServiceException to ioex : IOException in method public hasNext() : boolean from class eu.stratosphere.pact.runtime.sort.UnilateralSortMerger.KVReaderIterator,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,5e2cb9a2fa548fcf3282381e495a43d72006f009,"Rename Variable minMemory : long to totalMemory : long in method private getType(types Map<InstanceType,InstanceTypeDescription>) : InstanceTypeDescription from class eu.stratosphere.pact.compiler.PactCompiler",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,215cd50949e9baba47a93d5dabb7387ac16cd994,"Rename Variable minMemory : long to totalMemory : long in method private getType(types Map<InstanceType,InstanceTypeDescription>) : InstanceTypeDescription from class eu.stratosphere.pact.compiler.PactCompiler",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,5a29a2e9bf5c0d7223805e3a54a652c44d9b5bc3,Rename Variable pongBuffer : DatagramPacket to responsePacket : DatagramPacket in method public getJobManagerAddress() : InetSocketAddress from class eu.stratosphere.nephele.discovery.DiscoveryService,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,5a29a2e9bf5c0d7223805e3a54a652c44d9b5bc3,Rename Variable ping : DatagramPacket to lookupRequest : DatagramPacket in method public getJobManagerAddress() : InetSocketAddress from class eu.stratosphere.nephele.discovery.DiscoveryService,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,5a29a2e9bf5c0d7223805e3a54a652c44d9b5bc3,Rename Variable ping : DatagramPacket to requestPacket : DatagramPacket in method public run() : void from class eu.stratosphere.nephele.discovery.DiscoveryService,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,5a29a2e9bf5c0d7223805e3a54a652c44d9b5bc3,Rename Variable pong : DatagramPacket to responsePacket : DatagramPacket in method public run() : void from class eu.stratosphere.nephele.discovery.DiscoveryService,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,5a29a2e9bf5c0d7223805e3a54a652c44d9b5bc3,Rename Variable taskManagerAnnounceAddress : InetAddress to taskManagerAddress : InetAddress in method public TaskManager(configDir String) from class eu.stratosphere.nephele.taskmanager.TaskManager,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b89402d7cc104dba568a7001438d2a51e7987b40,"Rename Variable ie : InterruptedException to t : Throwable in method private typedInvoke(ikClass Class<IK>, iv1Class Class<IV1>, iv2Class Class<IV2>, okClass Class<OK>, ovClass Class<OV>) : void from class eu.stratosphere.pact.runtime.task.CoGroupTask",No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,b89402d7cc104dba568a7001438d2a51e7987b40,Rename Variable ie : InterruptedException to t : Throwable in method public invoke() : void from class eu.stratosphere.pact.runtime.task.MatchTask,No
