commit,old_name,new_name,type,coRename,line_number,file_path
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,367,MekHQ/src/mekhq/gui/BriefingTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,249,MekHQ/src/mekhq/gui/CommandCenterTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,186,MekHQ/src/mekhq/gui/MapTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,490,MekHQ/src/mekhq/gui/RepairTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,122,MekHQ/src/mekhq/gui/TOETab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,374,MekHQ/src/mekhq/gui/WarehouseTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,367,MekHQ/src/mekhq/gui/BriefingTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,249,MekHQ/src/mekhq/gui/CommandCenterTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,186,MekHQ/src/mekhq/gui/MapTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,490,MekHQ/src/mekhq/gui/RepairTab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,122,MekHQ/src/mekhq/gui/TOETab.java
df31b78601433319171a315062cad74acaf2a98e,southPanel,pnlTutorial,Rename Variable,0,374,MekHQ/src/mekhq/gui/WarehouseTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelWrapper,pnlTutorial,Rename Variable,1,234,MekHQ/src/mekhq/gui/HangarTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelWrapper,pnlTutorial,Rename Variable,1,255,MekHQ/src/mekhq/gui/PersonnelTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelWrapper,pnlTutorial,Rename Variable,1,158,MekHQ/src/mekhq/gui/StratconTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelWrapper,pnlTutorial,Rename Variable,1,255,MekHQ/src/mekhq/gui/PersonnelTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelWrapper,pnlTutorial,Rename Variable,1,234,MekHQ/src/mekhq/gui/HangarTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelWrapper,pnlTutorial,Rename Variable,1,158,MekHQ/src/mekhq/gui/StratconTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelEditorPane,pnlTutorial,Rename Variable,2,287,MekHQ/src/mekhq/gui/InfirmaryTab.java
df31b78601433319171a315062cad74acaf2a98e,infoPanelEditorPane,pnlTutorial,Rename Variable,2,287,MekHQ/src/mekhq/gui/InfirmaryTab.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,174,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Parameter,0,682,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Attribute,0,216,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Parameter,0,534,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,314,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,549,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,560,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,571,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,582,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
a3662412a977ea319960fba52f2a850abe80adb5,bthMin,targetNumberPreferred,Rename Variable,0,593,MekHQ/unittests/mekhq/service/mrms/MRMSServiceTest.java
